timestamp,co2_ppm
2021-10-20T15:44:16.005Z,539.755
2021-10-20T15:44:23.840Z,541.291
2021-10-20T15:44:31.591Z,541.046
2021-10-20T15:44:39.319Z,782.685
2021-10-20T15:44:47.101Z,914.015
2021-10-20T15:44:54.886Z,791.106
2021-10-20T15:45:02.872Z,738.503
2021-10-20T15:45:10.653Z,656.737
2021-10-20T15:45:18.440Z,602.785
2021-10-20T15:45:26.220Z,583.11
2021-10-20T15:45:34.205Z,560.898
2021-10-20T15:45:41.931Z,584.384
2021-10-20T15:45:49.772Z,568.961
2021-10-20T15:45:57.562Z,584.064
2021-10-20T15:46:05.379Z,583.117
2021-10-20T15:46:13.321Z,581.513
2021-10-20T15:46:21.111Z,572.09
2021-10-20T15:46:29.096Z,568.232
2021-10-20T15:46:36.880Z,572.474
2021-10-20T15:46:44.662Z,566.602
2021-10-20T15:46:52.400Z,572.122
2021-10-20T15:47:00.429Z,581.892
2021-10-20T15:47:08.145Z,580.532
2021-10-20T15:47:16.022Z,574.152
2021-10-20T15:47:23.771Z,570.088
2021-10-20T15:47:31.567Z,570.67
2021-10-20T15:47:39.295Z,569.727
2021-10-20T15:47:47.326Z,570.684
2021-10-20T15:47:55.129Z,570.781
2021-10-20T15:48:03.104Z,568.546
2021-10-20T15:48:10.895Z,570.282
2021-10-20T15:48:18.768Z,569.851
2021-10-20T15:48:26.492Z,568.686
2021-10-20T15:48:34.433Z,568.403
2021-10-20T15:48:42.211Z,569.183
2021-10-20T15:48:49.992Z,571.375
2021-10-20T15:48:58.013Z,572.542
2021-10-20T15:49:05.806Z,571.971
2021-10-20T15:49:13.571Z,575.268
2021-10-20T15:49:21.392Z,572.488
2021-10-20T15:49:29.272Z,571.422
2021-10-20T15:49:37.314Z,569.166
2021-10-20T15:49:45.095Z,571.331
2021-10-20T15:49:52.874Z,570.811
2021-10-20T15:51:57.746Z,636.632
2021-10-20T15:52:05.506Z,631.249
2021-10-20T15:52:13.372Z,619.155
2021-10-20T15:52:21.144Z,616.67
2021-10-20T15:52:29.130Z,601.974
2021-10-20T15:52:36.913Z,598.334
2021-10-20T15:52:44.696Z,607.817
2021-10-20T15:52:52.432Z,604.201
2021-10-20T15:53:00.468Z,602.585
2021-10-20T15:53:08.273Z,607.803
2021-10-20T15:53:16.233Z,607.285
2021-10-20T15:53:24.163Z,611.029
2021-10-20T15:53:31.893Z,589.762
2021-10-20T15:53:39.630Z,612.534
2021-10-20T15:53:47.773Z,602.895
2021-10-20T15:53:55.885Z,598.57
2021-10-20T15:54:07.644Z,596.147
2021-10-20T15:54:15.382Z,594.806
2021-10-20T15:54:23.124Z,602.107
2021-10-20T15:54:30.990Z,631.292
2021-10-20T15:54:38.718Z,561.66
2021-10-20T15:54:59.232Z,603.692
2021-10-20T15:55:07.052Z,596.379
2021-10-20T15:55:15.024Z,595.605
2021-10-20T15:55:23.039Z,595.85
2021-10-20T16:37:03.936Z,699.057
2021-10-20T16:37:11.583Z,703.636
2021-10-20T16:37:19.226Z,699.946
2021-10-20T16:37:26.852Z,696.034
2021-10-20T16:37:34.495Z,689.154
2021-10-20T16:37:42.127Z,684.075
2021-10-20T16:37:49.757Z,677.407
2021-10-20T16:37:57.385Z,676.968
2021-10-20T16:38:05.016Z,676.259
2021-10-20T16:38:12.655Z,674.642
2021-10-20T16:38:20.285Z,673.792
2021-10-20T16:38:27.949Z,675.344
2021-10-20T16:38:35.617Z,674.284
2021-10-20T16:38:43.254Z,674.209
2021-10-20T16:38:50.938Z,675.203
2021-10-20T16:38:58.571Z,675.153
2021-10-20T16:39:06.204Z,717.544
2021-10-20T16:39:13.834Z,2133.65
2021-10-20T16:39:21.494Z,3542.71
